Author,App,App ID,Total
A . Kardam,Contacts;Google Duo - High Quality Video Calls;Google Photos;Google Play Music,com.google.android.contacts;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.music,4
A 2 Z,Google Duo - High Quality Video Calls;Hotspot Shield Free VPN Proxy & Wi-Fi Security;Hotspot Shield Free VPN Proxy & Wi-Fi Security,com.google.android.apps.tachyon;hotspotshield.android.vpn;hotspotshield.android.vpn,3
A 2. Z,MAX Cleaner - Antivirus;MX Player,com.oneapp.max.cleaner.booster;com.mxtech.videoplayer.ad,2
A A Mahmud,Google Photos;Google Play Music,com.google.android.apps.photos;com.google.android.music,2
A A Ponce,Google Duo - High Quality Video Calls;Google Photos,com.google.android.apps.tachyon;com.google.android.apps.photos,2
A A,Adobe Lightroom - Photo Editor;Basketball Stars;Candy Crush Soda Saga;Castle Clash: Heroes of the Empire US;Chrome Beta;Cloud Print;Coin Dozer: Haunted Ghosts;Disneyland®;Draw Something Classic;EA SPORTS UFC®;Fire Truck Game;Go Free;Google Docs;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Google Play Music;Ketchapp Summer Sports;Mini Militia - Doodle Army 2;Real Racing 3;Restaurant Story™;Rocket Music Player;Samsung Smart Switch Mobile;Samsung Smart View,com.adobe.lrmobile;com.miniclip.basketballstars;com.king.candycrushsodasaga;com.igg.castleclash;com.chrome.beta;com.google.android.apps.cloudprint;com.gamecircus.CoinDozerHaunted;com.disney.wdpro.dlr;com.omgpop.dstfree;com.ea.game.easportsufc_row;com.baklabs.fire.simulator;uk.co.aifactory.gofree;com.google.android.apps.docs.editors.docs;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.music;com.ketchapp.summersports;com.appsomniacs.da2;com.ea.games.r3_na;com.teamlava.restaurantstory;com.jrtstudio.AnotherMusicPlayer;com.sec.android.easyMover;com.samsung.smartviewad,28
A AA,Block Craft 3D: Building Simulator Games For Free;Google Play Movies & TV;Google Play Music,com.fungames.blockcraft;com.google.android.videos;com.google.android.music,3
A Aa,Castle Clash: Heroes of the Empire US;Contacts;EA SPORTS UFC®;Google Duo - High Quality Video Calls;Google Photos,com.igg.castleclash;com.google.android.contacts;com.ea.game.easportsufc_row;com.google.android.apps.tachyon;com.google.android.apps.photos,5
A Abbas,Castle Clash: Heroes of the Empire US;Google Duo - High Quality Video Calls,com.igg.castleclash;com.google.android.apps.tachyon,2
A Ahmad,Castle Clash: Heroes of the Empire US;Google Photos,com.igg.castleclash;com.google.android.apps.photos,2
A Akhil,Adobe Acrobat Reader: PDF Viewer;Google Photos,com.adobe.reader;com.google.android.apps.photos,2
A Alexander,Google Duo - High Quality Video Calls;Midnight Castle: Hidden Object,com.google.android.apps.tachyon;com.bigfishgames.mcgooglef2p,2
A Ali,Audio Player;Google Duo - High Quality Video Calls;Google Photos;Google Photos,music.musicplayer;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos,4
A Ammoura,Google Photos;Microsoft Office Lens - PDF Scanner,com.google.android.apps.photos;com.microsoft.office.officelens,2
A Anantha Krishnan,Google Photos;MX Player Pro,com.google.android.apps.photos;com.mxtech.videoplayer.pro,2
A Anderson,AlphaBetty Saga;Bakery Story 2;Real Racing 3,com.king.alphabettysaga;com.storm8studios.bakerytwo;com.ea.games.r3_na,3
A Anon,Aralon Sword and Shadow 3d RPG;Google Docs,com.crescentmoongames.aralon;com.google.android.apps.docs.editors.docs,2
A Ansari,Google Duo - High Quality Video Calls;Google Photos;MAX Cleaner - Antivirus;MX Player Codec (x86),com.google.android.apps.tachyon;com.google.android.apps.photos;com.oneapp.max.cleaner.booster;com.mxtech.ffmpeg.x86,4
A Arun,Candy Crush Saga;Google Duo - High Quality Video Calls,com.king.candycrushsaga;com.google.android.apps.tachyon,2
A Ashiqur Rahman,Adobe Photoshop Express:Photo Editor Collage Maker;Mini Militia - Doodle Army 2,com.adobe.psmobile;com.appsomniacs.da2,2
A B J Ronard pro,Facebook Pages Manager;Google Photos,com.facebook.pages.app;com.google.android.apps.photos,2
A B,Adobe Lightroom - Photo Editor;Adobe Photoshop Express:Photo Editor Collage Maker;Bejeweled Blitz;Block Craft 3D: Building Simulator Games For Free;Chrome Beta;Contacts;Deck Heroes: Legacy;EA SPORTS UFC®;Facebook Pages Manager;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Google Play Movies & TV;Google Sheets;Google Sheets;Gravity Switch;MX Player Codec (ARMv6);MX Player;Make7! Hexa Puzzle;Microsoft Office Lens - PDF Scanner;Samsung Push Service;Swing,com.adobe.lrmobile;com.adobe.psmobile;com.ea.BejeweledBlitz_na;com.fungames.blockcraft;com.chrome.beta;com.google.android.contacts;com.igg.bzbee.deckheroes;com.ea.game.easportsufc_row;com.facebook.pages.app;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.videos;com.google.android.apps.docs.editors.sheets;com.google.android.apps.docs.editors.sheets;com.ketchapp.gravityswitch;com.mxtech.ffmpeg.v6;com.mxtech.videoplayer.ad;com.bitmango.go.make7hexapuzzle;com.microsoft.office.officelens;com.sec.spp.push;com.ketchapp.swing,29
A BALTAZAR,Castle Clash: Epic Empire ES;Solitaire,com.igg.castleclash_es;com.kathleenOswald.solitaireGooglePlay,2
A Baloch,Can Knockdown 3;DEER HUNTER CLASSIC;EA SPORTS UFC®,pl.idreams.CanKnockdown3;com.glu.deerhunt2;com.ea.game.easportsufc_row,3
A Banx,Adobe Photoshop Mix - Cut-out;Google Play Music,com.adobe.photoshopmix;com.google.android.music,2
A Bb,Hotspot Shield Basic - Free VPN Proxy & Privacy;Ketchapp Basketball,hssb.android.free.app;com.ketchapp.ketchappbasketball,2
A Bc,Adobe Photoshop Express:Photo Editor Collage Maker;Chrome Remote Desktop;Coin Dozer - Free Prizes;EA SPORTS UFC®;Google Play Music,com.adobe.psmobile;com.google.chromeremotedesktop;com.leftover.CoinDozer;com.ea.game.easportsufc_row;com.google.android.music,5
A Bishop,Google Duo - High Quality Video Calls;Virus Cleaner 2019 - Antivirus,com.google.android.apps.tachyon;com.ehawk.antivirus.applock.wifi,2
A Blake,Google Docs;Google Duo - High Quality Video Calls,com.google.android.apps.docs.editors.docs;com.google.android.apps.tachyon,2
A Br,Google Docs;Google Sheets,com.google.android.apps.docs.editors.docs;com.google.android.apps.docs.editors.sheets,2
A Brown,Adobe Acrobat Reader: PDF Viewer;Basketball Stars;Bejeweled Blitz;Bejeweled Blitz;Candy Crush Jelly Saga;Card Wars Kingdom;Castle Clash: Heroes of the Empire US;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Move the Block : Slide Puzzle;Solitaire,com.adobe.reader;com.miniclip.basketballstars;com.ea.BejeweledBlitz_na;com.ea.BejeweledBlitz_na;com.king.candycrushjellysaga;com.turner.cardwars2;com.igg.castleclash;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.bitmango.go.unblockcasual;com.kathleenOswald.solitaireGooglePlay,13
A Burnt Cookie,Extreme Car Driving Racing 3D;Real Racing 3,com.aim.racinggt;com.ea.games.r3_na,2
A Butler,Hotspot Shield Free VPN Proxy & Wi-Fi Security;Toca Kitchen,hotspotshield.android.vpn;com.tocaboca.tocakitchen,2
A C E,2 Cars;Mini Militia - Doodle Army 2,com.ketchapp.twocars;com.appsomniacs.da2,2
A C Lawn Care and More,Google Duo - High Quality Video Calls;Google Photos,com.google.android.apps.tachyon;com.google.android.apps.photos,2
A C,Basketball Stars;Disney Crossy Road;Facebook Pages Manager;Google Docs;Google Docs;Google Duo - High Quality Video Calls;Google Duo - High Quality Video Calls;Google Photos;Google Photos;Google Photos;Google Photos;Google Photos;Hotspot Shield Free VPN Proxy & Wi-Fi Security;Hotspot Shield Free VPN Proxy & Wi-Fi Security;Just Dance Now;MAX Cleaner - Antivirus;Video Downloader - for Instagram Repost App,com.miniclip.basketballstars;com.disney.disneycrossyroad_goo;com.facebook.pages.app;com.google.android.apps.docs.editors.docs;com.google.android.apps.docs.editors.docs;com.google.android.apps.tachyon;com.google.android.apps.tachyon;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;com.google.android.apps.photos;hotspotshield.android.vpn;hotspotshield.android.vpn;com.ubisoft.dance.JustDance;com.oneapp.max.cleaner.booster;com.popularapp.videodownloaderforinstagram,17
A CHAND,Google Duo - High Quality Video Calls;Google Photos,com.google.android.apps.tachyon;com.google.android.apps.photos,2
A CUSTOM,Samsung Smart Switch Mobile;Video Downloader - for Instagram Repost App,com.sec.android.easyMover;com.popularapp.videodownloaderforinstagram,2
A Cas,Adobe Photoshop Express:Photo Editor Collage Maker;My Boo - Your Virtual Pet Game,com.adobe.psmobile;br.com.tapps.myboo,2
A Cettolo,Block Craft 3D: Building Simulator Games For Free;Card Wars - Adventure Time;Microsoft PowerPoint: Slideshows and Presentations,com.fungames.blockcraft;com.turner.cardwars;com.microsoft.office.powerpoint,3
A Ch,Facebook Pages Manager;Google Photos,com.facebook.pages.app;com.google.android.apps.photos,2
A Chavez,Candy Crush Saga;Google Photos,com.king.candycrushsaga;com.google.android.apps.photos,2
A Clark,Google Photos;Hi Security 2019 - Junk Clean,com.google.android.apps.photos;com.hawk.security,2
A Cline,Lollipop Crush;My Ice Cream Truck - Make Sweet Frozen Desserts,com.bitmango.popstarice;br.com.tapps.myicecreamtruck,2
A Cole,Candy Crush Saga;Candy Crush Soda Saga;Disney Crossy Road,com.king.candycrushsaga;com.king.candycrushsodasaga;com.disney.disneycrossyroad_goo,3
A Cooper,Block! Hexa Puzzle™;Google Photos;Google Photos,com.bitmango.go.blockhexapuzzle;com.google.android.apps.photos;com.google.android.apps.photos,3
A Cruz,Google Duo - High Quality Video Calls;Google Photos,com.google.android.apps.tachyon;com.google.android.apps.photos,2
A Cubirg,Bejeweled Blitz;Coin Dozer: Pirates,com.ea.BejeweledBlitz_na;com.gamecircus.CoinDozerPirates,2
A D Shaburkes,Block! Hexa Puzzle™;Lollipop & Marshmallow Match3,com.bitmango.go.blockhexapuzzle;com.bitmango.go.lollipop2match3,2
